A,B,C,D
830.7151,792.8806,717.2114,850.4548
847.1649,792.8806,717.2114,863.6147
835.65,898.1592,822.4902,843.8749
871.8396,661.2821,664.5721,878.4195
837.295,792.8806,769.8508,858.6797
827.4251,740.2411,664.5721,876.7745
797.8155,766.5609,664.5721,832.36
825.7802,871.8396,769.8508,863.6147
837.295,740.2411,664.5721,848.8099
843.8749,740.2411,717.2114,863.6147
866.9047,740.2411,664.5721,886.6444
835.65,740.2411,664.5721,850.4548
838.94,687.6018,611.9327,857.0347
820.8452,871.8396,822.4902,832.36
845.5199,819.2002,822.4902,861.9697
834.005,819.2002,822.4902,835.65
840.585,758.3359,707.3416,861.9697
837.295,738.5962,722.1464,853.7448
848.8099,784.6556,773.1407,863.6147
837.295,802.7504,791.2355,858.6797
835.65,774.7858,825.7802,850.4548
850.4548,758.3359,745.1761,870.1946
837.295,756.691,769.8508,858.6797
857.0347,712.2765,674.442,866.9047
840.585,888.2894,881.7095,843.8749
858.6797,838.94,829.0701,873.4846
850.4548,834.005,842.2299,857.0347
852.0998,776.4307,738.5962,855.3898
845.5199,776.4307,730.3713,847.1649
845.5199,863.6147,804.3954,868.5496
848.8099,807.6854,810.9753,863.6147
860.3247,796.1705,845.5199,880.0645
866.9047,710.6315,713.9214,873.4846
850.4548,717.2114,740.2411,850.4548
853.7448,768.2058,687.6018,855.3898
843.8749,883.3544,871.8396,852.0998
848.8099,889.9344,898.1592,865.2596
843.8749,820.8452,819.2002,857.0347
850.4548,786.3006,766.5609,857.0347
842.2299,753.401,740.2411,857.0347
855.3898,848.8099,819.2002,886.6444
840.585,819.2002,819.2002,861.9697
842.2299,797.8155,845.5199,853.7448
855.3898,692.5367,661.2821,868.5496
857.0347,618.5126,634.9624,875.1295
871.8396,830.7151,845.5199,894.8693
871.8396,861.9697,845.5199,898.1592
870.1946,843.8749,845.5199,893.2243
825.7802,861.9697,889.9344,829.0701
830.7151,756.691,784.6556,840.585
830.7151,756.691,784.6556,838.94
847.1649,835.65,837.295,861.9697
852.0998,809.3303,837.295,875.1295
845.5199,809.3303,837.295,876.7745
861.9697,783.0106,732.0162,888.2894
852.0998,835.65,784.6556,870.1946
855.3898,835.65,784.6556,878.4195
835.65,940.9288,889.9344,858.6797
848.8099,1019.888,942.5737,875.1295
847.1649,861.9697,837.295,868.5496
